EXP-LOAD, 2023-07-18T15:03:16.087, ubuntu22-b, mtd-zk-0, 0.574111
EXP-LOAD, 2023-07-18T15:03:26.563, ubuntu22-b, mtd-zk-0, 0.624007
EXP-LEAD, 2023-07-18T15:03:28.535, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:03:35.108, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:03:36.293, ubuntu22-b, mtd-zk-0, 0.756605
EXP-LOAD, 2023-07-18T15:03:43.844, ubuntu22-b, mtd-zk-0, 0.756605
EXP-LOAD, 2023-07-18T15:03:54.085, ubuntu22-b, mtd-zk-0, 0.677435
EXP-LOAD, 2023-07-18T15:04:02.250, ubuntu22-b, mtd-zk-0, 0.677435
EXP-LOAD, 2023-07-18T15:04:09.408, ubuntu22-b, mtd-zk-0, 0.691017
EXP-LEAD, 2023-07-18T15:04:10.455, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:04:16.502, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:04:17.731, ubuntu22-b, mtd-zk-0, 0.691017
EXP-LEAD, 2023-07-18T15:04:19.592, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:04:27.450, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:04:28.581, ubuntu22-b, mtd-zk-0, 0.740007
EXP-LOAD, 2023-07-18T15:04:35.804, ubuntu22-b, mtd-zk-0, 0.730872
EXP-LOAD, 2023-07-18T15:04:43.955, ubuntu22-b, mtd-zk-0, 0.730872
EXP-LOAD, 2023-07-18T15:04:54.226, ubuntu22-b, mtd-zk-0, 0.687914
EXP-LOAD, 2023-07-18T15:05:01.357, ubuntu22-b, mtd-zk-0, 0.687914
EXP-LOAD, 2023-07-18T15:05:11.672, ubuntu22-b, mtd-zk-0, 0.609016
EXP-LOAD, 2023-07-18T15:05:18.720, ubuntu22-b, mtd-zk-0, 0.609016
EXP-LOAD, 2023-07-18T15:05:27.777, ubuntu22-b, mtd-zk-0, 0.717309
EXP-LEAD, 2023-07-18T15:05:28.768, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:05:34.613, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:05:35.672, ubuntu22-b, mtd-zk-0, 0.733610
EXP-LOAD, 2023-07-18T15:05:46.948, ubuntu22-b, mtd-zk-0, 0.733610
EXP-LOAD, 2023-07-18T15:05:53.794, ubuntu22-b, mtd-zk-0, 0.680203
EXP-LOAD, 2023-07-18T15:06:02.872, ubuntu22-b, mtd-zk-0, 0.680203
EXP-LOAD, 2023-07-18T15:06:12.023, ubuntu22-b, mtd-zk-0, 0.690206
EXP-LOAD, 2023-07-18T15:06:20.195, ubuntu22-b, mtd-zk-0, 0.675923
EXP-LOAD, 2023-07-18T15:06:27.271, ubuntu22-b, mtd-zk-0, 0.675923
EXP-LOAD, 2023-07-18T15:06:38.446, ubuntu22-b, mtd-zk-0, 0.683607
EXP-LOAD, 2023-07-18T15:06:44.566, ubuntu22-b, mtd-zk-0, 0.683607
EXP-LOAD, 2023-07-18T15:06:51.719, ubuntu22-b, mtd-zk-0, 0.678915
EXP-LEAD, 2023-07-18T15:06:52.735, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:07:00.517, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:07:01.582, ubuntu22-b, mtd-zk-0, 0.678915
EXP-LOAD, 2023-07-18T15:07:07.957, ubuntu22-b, mtd-zk-0, 0.723014
EXP-LOAD, 2023-07-18T15:07:16.129, ubuntu22-b, mtd-zk-0, 0.723014
EXP-LOAD, 2023-07-18T15:07:23.244, ubuntu22-b, mtd-zk-0, 0.666816
EXP-LOAD, 2023-07-18T15:07:29.931, ubuntu22-b, mtd-zk-0, 0.666816
EXP-LOAD, 2023-07-18T15:07:38.484, ubuntu22-b, mtd-zk-0, 0.715620
EXP-LOAD, 2023-07-18T15:07:45.552, ubuntu22-b, mtd-zk-0, 0.715620
EXP-LOAD, 2023-07-18T15:07:56.112, ubuntu22-b, mtd-zk-0, 0.717113
EXP-LOAD, 2023-07-18T15:08:05.242, ubuntu22-b, mtd-zk-0, 0.660015
EXP-LEAD, 2023-07-18T15:08:07.302, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:08:13.205, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:08:14.266, ubuntu22-b, mtd-zk-0, 0.660015
EXP-LOAD, 2023-07-18T15:08:23.417, ubuntu22-b, mtd-zk-0, 0.685709
EXP-LOAD, 2023-07-18T15:08:31.091, ubuntu22-b, mtd-zk-0, 0.685709
EXP-LOAD, 2023-07-18T15:08:39.163, ubuntu22-b, mtd-zk-0, 0.617103
EXP-LEAD, 2023-07-18T15:08:40.204, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:08:48.181, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:08:49.258, ubuntu22-b, mtd-zk-0, 0.707306
EXP-LOAD, 2023-07-18T15:08:55.386, ubuntu22-b, mtd-zk-0, 0.707306
EXP-LOAD, 2023-07-18T15:09:04.486, ubuntu22-b, mtd-zk-0, 0.677237
EXP-LOAD, 2023-07-18T15:09:11.588, ubuntu22-b, mtd-zk-0, 0.677237
EXP-LOAD, 2023-07-18T15:09:19.692, ubuntu22-b, mtd-zk-0, 0.710116
EXP-LOAD, 2023-07-18T15:09:30.285, ubuntu22-b, mtd-zk-0, 0.710116
EXP-LOAD, 2023-07-18T15:09:38.427, ubuntu22-b, mtd-zk-0, 0.661013
EXP-LOAD, 2023-07-18T15:09:49.510, ubuntu22-b, mtd-zk-0, 0.726010
EXP-LOAD, 2023-07-18T15:09:57.620, ubuntu22-b, mtd-zk-0, 0.726010
EXP-LOAD, 2023-07-18T15:10:07.796, ubuntu22-b, mtd-zk-0, 0.599647
EXP-LEAD, 2023-07-18T15:10:10.107, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:10:15.915, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:10:16.977, ubuntu22-b, mtd-zk-0, 0.599647
EXP-LOAD, 2023-07-18T15:10:24.057, ubuntu22-b, mtd-zk-0, 0.704225
EXP-LOAD, 2023-07-18T15:10:35.211, ubuntu22-b, mtd-zk-0, 0.705011
EXP-LOAD, 2023-07-18T15:10:43.373, ubuntu22-b, mtd-zk-0, 0.705011
EXP-LOAD, 2023-07-18T15:10:51.499, ubuntu22-b, mtd-zk-0, 0.676012
EXP-LOAD, 2023-07-18T15:11:01.660, ubuntu22-b, mtd-zk-0, 0.676012
EXP-LOAD, 2023-07-18T15:11:08.874, ubuntu22-b, mtd-zk-0, 0.673608
EXP-LOAD, 2023-07-18T15:11:16.924, ubuntu22-b, mtd-zk-0, 0.673608
EXP-LOAD, 2023-07-18T15:11:27.143, ubuntu22-b, mtd-zk-0, 0.658221
EXP-LEAD, 2023-07-18T15:11:29.155, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:11:33.678, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:11:34.772, ubuntu22-b, mtd-zk-0, 0.698608
EXP-LOAD, 2023-07-18T15:11:43.337, ubuntu22-b, mtd-zk-0, 0.698608
EXP-LOAD, 2023-07-18T15:11:50.488, ubuntu22-b, mtd-zk-0, 0.706314
EXP-LOAD, 2023-07-18T15:11:58.985, ubuntu22-b, mtd-zk-0, 0.706314
EXP-LOAD, 2023-07-18T15:12:07.079, ubuntu22-b, mtd-zk-0, 0.753204
EXP-LOAD, 2023-07-18T15:12:15.232, ubuntu22-b, mtd-zk-0, 0.753204
EXP-LOAD, 2023-07-18T15:12:24.324, ubuntu22-b, mtd-zk-0, 0.650579
EXP-LOAD, 2023-07-18T15:12:31.894, ubuntu22-b, mtd-zk-0, 0.650579
EXP-LOAD, 2023-07-18T15:12:41.994, ubuntu22-b, mtd-zk-0, 0.689492
EXP-LOAD, 2023-07-18T15:12:50.131, ubuntu22-b, mtd-zk-0, 0.690309
EXP-LOAD, 2023-07-18T15:12:57.283, ubuntu22-b, mtd-zk-0, 0.690309
EXP-LOAD, 2023-07-18T15:13:05.370, ubuntu22-b, mtd-zk-0, 0.746605
EXP-LOAD, 2023-07-18T15:13:13.610, ubuntu22-b, mtd-zk-0, 0.746605
EXP-LOAD, 2023-07-18T15:13:21.826, ubuntu22-b, mtd-zk-0, 0.648310
EXP-LOAD, 2023-07-18T15:13:32.442, ubuntu22-b, mtd-zk-0, 0.648310
EXP-LOAD, 2023-07-18T15:13:39.540, ubuntu22-b, mtd-zk-0, 0.688232
EXP-LOAD, 2023-07-18T15:13:46.665, ubuntu22-b, mtd-zk-0, 0.688232
EXP-LOAD, 2023-07-18T15:13:53.269, ubuntu22-b, mtd-zk-0, 0.639903
EXP-LOAD, 2023-07-18T15:14:01.371, ubuntu22-b, mtd-zk-0, 0.639903
EXP-LOAD, 2023-07-18T15:14:09.519, ubuntu22-b, mtd-zk-0, 0.666205
EXP-LOAD, 2023-07-18T15:14:20.653, ubuntu22-b, mtd-zk-0, 0.675119
EXP-LOAD, 2023-07-18T15:14:26.799, ubuntu22-b, mtd-zk-0, 0.675119
EXP-LOAD, 2023-07-18T15:14:37.533, ubuntu22-b, mtd-zk-0, 0.697808
EXP-LOAD, 2023-07-18T15:14:44.266, ubuntu22-b, mtd-zk-0, 0.697808
EXP-LEAD, 2023-07-18T15:14:47.323, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:14:53.935, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:14:54.991, ubuntu22-b, mtd-zk-0, 0.691031
EXP-LEAD, 2023-07-18T15:14:56.515, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:15:02.155, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:15:03.206, ubuntu22-b, mtd-zk-0, 0.691031
EXP-LEAD, 2023-07-18T15:15:04.550, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:15:13.487, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:15:14.588, ubuntu22-b, mtd-zk-0, 0.727821
EXP-LOAD, 2023-07-18T15:15:19.766, ubuntu22-b, mtd-zk-0, 0.701626
EXP-LOAD, 2023-07-18T15:15:31.042, ubuntu22-b, mtd-zk-0, 0.701626
EXP-LOAD, 2023-07-18T15:15:39.145, ubuntu22-b, mtd-zk-0, 0.646391
EXP-LEAD, 2023-07-18T15:15:42.164, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:15:46.713, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:15:47.781, ubuntu22-b, mtd-zk-0, 0.646391
EXP-LEAD, 2023-07-18T15:15:49.294, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:15:55.891, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:15:56.942, ubuntu22-b, mtd-zk-0, 0.662811
EXP-LOAD, 2023-07-18T15:16:07.488, ubuntu22-b, mtd-zk-0, 0.677114
EXP-LOAD, 2023-07-18T15:16:15.595, ubuntu22-b, mtd-zk-0, 0.677114
EXP-LOAD, 2023-07-18T15:16:22.703, ubuntu22-b, mtd-zk-0, 0.708203
EXP-LEAD, 2023-07-18T15:16:24.163, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:16:28.708, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:16:29.746, ubuntu22-b, mtd-zk-0, 0.708203
EXP-LOAD, 2023-07-18T15:16:40.332, ubuntu22-b, mtd-zk-0, 0.653106
EXP-LOAD, 2023-07-18T15:16:47.909, ubuntu22-b, mtd-zk-0, 0.653106
EXP-LOAD, 2023-07-18T15:16:56.225, ubuntu22-b, mtd-zk-0, 0.661604
EXP-LOAD, 2023-07-18T15:17:04.302, ubuntu22-b, mtd-zk-0, 0.673308
EXP-LOAD, 2023-07-18T15:17:11.469, ubuntu22-b, mtd-zk-0, 0.673308
EXP-LEAD, 2023-07-18T15:17:13.503, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:17:19.077, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:17:20.155, ubuntu22-b, mtd-zk-0, 0.642419
EXP-LOAD, 2023-07-18T15:17:26.683, ubuntu22-b, mtd-zk-0, 0.642419
EXP-LOAD, 2023-07-18T15:17:35.805, ubuntu22-b, mtd-zk-0, 0.659604
EXP-LOAD, 2023-07-18T15:17:46.894, ubuntu22-b, mtd-zk-0, 0.659604
EXP-LEAD, 2023-07-18T15:17:48.096, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:17:53.682, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:17:54.730, ubuntu22-b, mtd-zk-0, 0.652404
EXP-LOAD, 2023-07-18T15:18:04.344, ubuntu22-b, mtd-zk-0, 0.682922
EXP-LOAD, 2023-07-18T15:18:12.364, ubuntu22-b, mtd-zk-0, 0.682922
EXP-LOAD, 2023-07-18T15:18:19.458, ubuntu22-b, mtd-zk-0, 0.660011
EXP-LOAD, 2023-07-18T15:18:28.560, ubuntu22-b, mtd-zk-0, 0.660011
EXP-LEAD, 2023-07-18T15:18:30.587, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:18:36.183, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:18:37.235, ubuntu22-b, mtd-zk-0, 0.687508
EXP-LOAD, 2023-07-18T15:18:45.791, ubuntu22-b, mtd-zk-0, 0.687508
EXP-LOAD, 2023-07-18T15:18:53.398, ubuntu22-b, mtd-zk-0, 0.672814
EXP-LOAD, 2023-07-18T15:19:03.529, ubuntu22-b, mtd-zk-0, 0.672814
EXP-LOAD, 2023-07-18T15:19:10.671, ubuntu22-b, mtd-zk-0, 0.651644
EXP-LOAD, 2023-07-18T15:19:19.768, ubuntu22-b, mtd-zk-0, 0.677416
EXP-LOAD, 2023-07-18T15:19:30.876, ubuntu22-b, mtd-zk-0, 0.677416
EXP-LEAD, 2023-07-18T15:19:32.903, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:19:37.552, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:19:38.695, ubuntu22-b, mtd-zk-0, 0.690724
EXP-LOAD, 2023-07-18T15:19:47.129, ubuntu22-b, mtd-zk-0, 0.690724
EXP-LOAD, 2023-07-18T15:19:57.864, ubuntu22-b, mtd-zk-0, 0.696203
EXP-LOAD, 2023-07-18T15:20:04.959, ubuntu22-b, mtd-zk-0, 0.672415
EXP-LOAD, 2023-07-18T15:20:16.056, ubuntu22-b, mtd-zk-0, 0.672415
EXP-LOAD, 2023-07-18T15:20:24.272, ubuntu22-b, mtd-zk-0, 0.742204
EXP-LOAD, 2023-07-18T15:20:32.303, ubuntu22-b, mtd-zk-0, 0.742204
EXP-LOAD, 2023-07-18T15:20:41.419, ubuntu22-b, mtd-zk-0, 0.672515
EXP-LOAD, 2023-07-18T15:20:50.579, ubuntu22-b, mtd-zk-0, 0.667821
EXP-LOAD, 2023-07-18T15:20:58.648, ubuntu22-b, mtd-zk-0, 0.667821
EXP-LOAD, 2023-07-18T15:21:10.245, ubuntu22-b, mtd-zk-0, 0.683122
EXP-LEAD, 2023-07-18T15:21:11.284, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:21:15.895, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:21:16.943, ubuntu22-b, mtd-zk-0, 0.683122
EXP-LOAD, 2023-07-18T15:21:24.477, ubuntu22-b, mtd-zk-0, 0.664640
EXP-LOAD, 2023-07-18T15:21:33.030, ubuntu22-b, mtd-zk-0, 0.664640
EXP-LOAD, 2023-07-18T15:21:40.116, ubuntu22-b, mtd-zk-0, 0.661440
EXP-LOAD, 2023-07-18T15:21:47.213, ubuntu22-b, mtd-zk-0, 0.661440
EXP-LOAD, 2023-07-18T15:21:59.317, ubuntu22-b, mtd-zk-0, 0.607209
EXP-LOAD, 2023-07-18T15:22:07.398, ubuntu22-b, mtd-zk-0, 0.654216
EXP-LEAD, 2023-07-18T15:22:08.438, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:22:13.120, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:22:14.166, ubuntu22-b, mtd-zk-0, 0.654216
EXP-LOAD, 2023-07-18T15:22:21.637, ubuntu22-b, mtd-zk-0, 0.677411
EXP-LOAD, 2023-07-18T15:22:27.740, ubuntu22-b, mtd-zk-0, 0.677411
EXP-LOAD, 2023-07-18T15:22:37.273, ubuntu22-b, mtd-zk-0, 0.660428
EXP-LOAD, 2023-07-18T15:22:45.374, ubuntu22-b, mtd-zk-0, 0.660428
EXP-LOAD, 2023-07-18T15:22:55.493, ubuntu22-b, mtd-zk-0, 0.658205
EXP-LOAD, 2023-07-18T15:23:02.619, ubuntu22-b, mtd-zk-0, 0.658205
EXP-LOAD, 2023-07-18T15:23:10.244, ubuntu22-b, mtd-zk-0, 0.685807
EXP-LEAD, 2023-07-18T15:23:11.325, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T15:23:15.950, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T15:23:17.015, ubuntu22-b, mtd-zk-0, 0.685807
